id,title,description,link,condition,price,availability,image link,gtin,mpn,brand,google product category,shipping weight,sale price,sale price effective date,additional image link,product type,custom label 0
189KW-X,Green Leaf Thank You - Set of 50 -  Recycled Thank You Cards,"A contemporary recycled thank you card with a green leaf design. Printed with soy ink on FSC&reg; certified, 30% recycled, embossed paper with an earthy look and feel.
Includes 26 white, 100% recycled, envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Green_Leaf_Thank_You_189KW,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/189.jpg,,189KW-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Recycled Thank You Card,15Off
190KW-X,Vine Thank You - Set of 50 -  Recycled Thank You Cards,"This thank you card with a floral design is printed with soy ink on FSC&reg; certified, 30% recycled, embossed paper with an earthy look and feel.
Includes 26 white, 100% recycled, envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Vine_Thank_You_190KW,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/190.jpg,,190KW-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Recycled Thank You Card,15Off
193KW-X,Green Anniversary - Set of 50 -  Recycled Anniversary Cards,"This anniversary card features an organic, green design and is blank inside for your own sentiments. Printed with soy ink on 100% recycled, FSC&reg; certified paper.
Includes 26 white, 100% recycled, envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Green_Anniversary_193KW,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/193.jpg,,193KW-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Recycled Anniversary Card,15Off
199D-Y,Tooth Flower - Set of 50 -  Dental Birthday Cards,"A clever birthday card with a flower made up of teeth, printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Tooth_Flower_199D,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/199.jpg,,199D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Dental Birthday Card,15Off
3122M-B,Letterhead Blank - Set of 50 -  Thanksgiving Letterhead,"Customize your Thanksgiving message with this lovely Thanksgiving letterhead.
Includes 26 white envelopes for every 25 sheets ordered.&nbsp; Letterhead folds to fit in a #10 envelope.
Please note: Your verse and personalization will not be  accurately portrayed online. Your information will appear in standard  letter format. If you would like a free proof before we print, please  write &quot;free proof&quot; in Special Instructions.",https://postycards.com/catalog/product/Letterhead_Blank_3122M,new,29.50 USD,in stock,https://postycards.com/images/fck/Exterior/2003/3122.jpg,,3122M-B,Posty Cards Inc.,Office Supplies > General Office Supplies > Paper Products > Stationery,1 lb,,,,Thanksgiving Letterhead,15Off
4154P,Calendar Inserts (Set of 50),"This simply designed calendar insert is the perfect way to enclose a hand written note with desk calendars. They are great as invitations or gift enclosures too!
No envelopes are included. Sorry, no personalization._
Size: 6&quot; x 4&quot;",https://postycards.com/catalog/product/Calendar_Inserts_4154P,new,,in stock,https://postycards.com/images/fck/Exterior/2004/4154.jpg,,4154P,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Business Calendar Card,15Off
446C-Y,Rosh Hashanah - Set of 50 -  Jewish Holiday Cards,"This item is an Internet Only Special and is not eligible for any other discounts.
A budget friendly Jewish New Year card.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Rosh_Hashanah_446C,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2004/446.jpg,,446C-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Jewish Holiday Card,15Off
452P-ZZ,Balloons Postcard - Set of 50 -  Birthday Postcards,"A classic birthday postcard with a bold balloon design. Printed on FSC&reg; certified paper.
No envelope included.",https://postycards.com/catalog/product/Balloons_Postcard_452P,new,24.50 USD,in stock,https://postycards.com/images/fck/Exterior/2004/452.jpg,,452P-ZZ,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday PostCard,15Off
502S-W,Executive Birthday - Set of 50 -  Business Birthday Cards,"This bestselling birthday card has a simple look and feel that is perfect for any business to send. Featuring silver foil embossing and FSC&reg; certified paper.
Includes 26 silver foil lined envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Executive_Birthday_502S,new,43.50 USD,in stock,https://postycards.com/images/fck/Exterior/2005/502.jpg,,502S-W,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Business Birthday Card,15Off
542U-X,Rejoice Easter - Set of 50 -  Easter Cards,"A religious Easter card featuring a beautiful white lily and gold foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Rejoice_Easter_542U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2005/542.jpg,,542U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Easter Card,15Off
625D-Y,Cake and Balloons - Set of 50 -  Business Birthday Cards,"A fun, graphic birthday card with cake and balloons. Featuring FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.
Please note: If you have purchased this card in the past, the  previous paper has been discontinued. The new paper is a heavier  cardstock that is not quite as shiny.",https://postycards.com/catalog/product/Cake_and_Balloons_625D,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2006/625.jpg,,625D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Business Birthday Card,15Off
