id	title	brand	link	price	description	image_link	mpn	gtin	availability	condition	product_type	product_category	custom_label_0
AO501	Birthday Assortment - Birthday Card Assortment Packs	Posty Cards Inc.	https://postycards.com/catalog/product/Birthday_Assortment_AO501	45.00 USD	"Contains 50 cards with white envelopes.Sorry, personal imprints are not available on assortment cards and envelopes.Includes the following cards:15 - Dragonfly A5013U-X Verse: Wishing you joy and happiness on your birthday and throughout the year ahead.15 - Sunlit Path A5014U-XVerse: Warm wishes for a wonderful birthday and a year of good health, happiness and success.

10 - Plumeria A5019U-X
Verse: Cheerful wishes for a birthday that blooms with happiness.

10 - Sea Life A5015U-X
Verse: Bright and sunny wishes for happiness on your special day."	https://postycards.com/images/fck/Exterior/Assortments/AO501.jpg	AO501		In Stock	New	Birthday Card Assortment Packs	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
AO600	Birthday Assortment - Birthday Card Assortment Packs	Posty Cards Inc.	https://postycards.com/catalog/product/Birthday_Assortment_AO600	45.00 USD	"Contains 50 cards with white envelopes.
Sorry, personal imprints are not available on assortment cards and envelopes.
Includes the following cards:
15 - Celebrate A6010U-X
Verse: Hope it's a great one!&nbsp; May the year ahead bring good health, happiness and success.

15 - Cake Surprise A2024U-Y
Verse: Wishing you happiness as you celebrate your special day.

10 - Cake Wishes A6017U-X
Verse: Celebrate! You deserve the best day ever.

10 - Retro Balloons A6025U-Y
Verse: Hope your birthday is filled with many happy surprises.

&nbsp;"	https://postycards.com/images/fck/Exterior/Assortments/AO600.jpg	AO600		In Stock	New	Birthday Card Assortment Packs	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
AO601	Birthday Assortment - Birthday Card Assortment Packs	Posty Cards Inc.	https://postycards.com/catalog/product/Birthday_Assortment_AO601	45.00 USD	"Contains 50 cards with white envelopes.
Sorry, personal imprints are not available on assortment cards and envelopes.
Includes the following cards:
15 - Exotic Waterfall A6012U-X
Verse: Wishing you every joy and happiness on your special day.

15 - Butterfly Birthday A6018U-X
Verse: Hope you have a wonderful birthday that blooms with happiness.

10 - Dahlia A6016U-X
Verse: Best wishes for happiness as you celebrate your special day.

10 - Birthday Sailing A6019U-X
Verse: Sending you warm wishes for a great day and a wonderful year!"	https://postycards.com/images/fck/Exterior/Assortments/AO601.jpg	AO601		In Stock	New	Birthday Card Assortment Packs	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
AO404	Birthday Postcard Assortment - Birthday Card Assortment Packs	Posty Cards Inc.	https://postycards.com/catalog/product/Birthday_Postcard_Assortment_AO404	29.00 USD	"Contains 50 postcards (no envelopes).
Sorry, personal imprints are not available on assortment postcards.
Includes the following postcards:
15 - Balloon Party Postcard A4055P-ZZ
Verse: Hope your birthday is full of happiness and good cheer!

15 - Birthday Bunch Postcard A2032P-ZZ
Verse: Hope your birthday is filled with fun and happiness.

10 - Tropical Waters Postcard A4054P-ZZ
Verse: Warm wishes for a day full of happy surprises.

10 - Green Leaves Birthday Postcard D3211P-ZZ
Verse: Warm wishes for a wonderful birthday."	https://postycards.com/images/fck/Exterior/Assortments/AO404.jpg	AO404		In Stock	New	Birthday Card Assortment Packs	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
AO605	Birthday Postcard Assortment - Birthday Card Assortment Packs	Posty Cards Inc.	https://postycards.com/catalog/product/Birthday_Postcard_Assortment_AO605	29.00 USD	"Contains 50 postcards (no envelopes).
Sorry, personal imprints are not available on assortment postcards.
Includes the following postcards:
15 - Package Postcard A6027P-ZZ
Verse: Best wishes for a great day.

15 - Stylish Typography Postcard A5101P-ZZ
Verse: Wishing you all the best on your special day.

10 - Graphic Floral Postcard A5100P-ZZ
Verse: Hope your day blooms with happiness.

10 - Birthday Jubilee Postcard X34P-ZZ
Verse: Wishing you all the best on your birthday."	https://postycards.com/images/fck/Exterior/Assortments/AO605.jpg	AO605		In Stock	New	Birthday Card Assortment Packs	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
AO502	Kids Birthday Assortment - Birthday Card Assortment Packs	Posty Cards Inc.	https://postycards.com/catalog/product/Kids_Birthday_Assortment_AO502	45.00 USD	"Contains 50 cards with white envelopes.
Sorry, personal imprints are not available on assortment cards and envelopes.
Includes the following cards:
15 - Monster Bash A5024U-Y (Includes a fun maze activity on the top inside portion of the card)
Verse: Help the monsters find their birthday party!

15 - Birthday Rays A4044U-Y
Verse: Bright wishes for a fun and happy birthday!

10 - Have a Ball A5046U-Y
Verse: Hope all your birthday wishes come true!

10 - Pink Owl A5025U-Y
Verse: Sending you best wishes for a very happy birthday."	https://postycards.com/images/fck/Exterior/Assortments/AO502.jpg	AO502		In Stock	New	Birthday Card Assortment Packs	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
AO602	Religious Birthday Assortment - Birthday Card Assortment Packs	Posty Cards Inc.	https://postycards.com/catalog/product/Religious_Birthday_Assortment_AO602	45.00 USD	"Contains 50 cards with white envelopes.
Sorry, personal imprints are not available on assortment cards and envelopes.
Includes the following cards:
15 - Watercolor Blessing A6031U-Y
Verse: Wishing you a blessed birthday filled with happiness.

15 - Scenic Psalm A6032U-Y
Verse: May God bless you on your birthday and always.

10 - Birthday Path A4047U-Y
Verse: May your birthday be blessed and filled with God's love.

10 - Floral Psalm A5032U-Y
Verse: Wishing you joy and happiness on your birthday and throughout the year ahead."	https://postycards.com/images/fck/Exterior/Assortments/AO602.jpg	AO602		In Stock	New	Birthday Card Assortment Packs	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
452P-ZZ	Balloons Postcard - Birthday PostCards	Posty Cards Inc.	https://postycards.com/catalog/product/Balloons_Postcard_452P	24.50 USD	"A classic birthday postcard with a bold balloon design. Printed on FSC&reg; certified paper.
No envelope included."	https://postycards.com/images/fck/Exterior/2004/452.jpg	452P-ZZ		In Stock	New	Birthday PostCard	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
936P-ZZ	Cupcake Postcard - Birthday PostCards	Posty Cards Inc.	https://postycards.com/catalog/product/Cupcake_Postcard_936P	24.50 USD	"This birthday postcard features a bright and fun cupcake design and is printed on FSC&reg; certified paper.
No envelope included."	https://postycards.com/images/fck/Exterior/2009%20AO/936.jpg	936P-ZZ		In Stock	New	Birthday PostCard	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
A5100P-ZZ	Graphic Floral Postcard - Birthday PostCards	Posty Cards Inc.	https://postycards.com/catalog/product/Graphic_Floral_Postcard_A5100P	24.50 USD	"A feminine graphic floral postcard featuring FSC&reg; certified paper.
No envelope included."	https://postycards.com/images/fck/Exterior/2015%20AO/A5100.jpg	A5100P-ZZ		In Stock	New	Birthday PostCard	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
